"date","count","size"
"2017-01-31 00:00:00",164,817834010627
"2017-02-01 00:00:00",205,1165372460695
"2017-02-02 00:00:00",249,7467449326597
"2017-02-03 00:00:00",262,3778048627714
"2017-02-04 00:00:00",229,1708388685659
"2017-02-05 00:00:00",661,1734937728491
"2017-02-06 00:00:00",182,1572964811895
"2017-02-07 00:00:00",242,2140897932474
"2017-02-08 00:00:00",233,3886515007816
"2017-02-09 00:00:00",183,2192859512824
"2017-02-10 00:00:00",272,1673489519411
"2017-02-11 00:00:00",246,2525891342830
"2017-02-12 00:00:00",239,1769888556610
"2017-02-13 00:00:00",213,922477363548
"2017-02-14 00:00:00",186,1033150839762
"2017-02-15 00:00:00",268,1739249239994
"2017-02-16 00:00:00",243,1477228748091
"2017-02-17 00:00:00",242,859423913864
"2017-02-18 00:00:00",229,1399895624355
"2017-02-19 00:00:00",263,1085008564556
"2017-02-20 00:00:00",319,5390050439454
"2017-02-21 00:00:00",284,1490293157727
"2017-02-22 00:00:00",204,1579169218835
"2017-02-23 00:00:00",249,2294683239578
"2017-02-24 00:00:00",197,1223765249734
"2017-02-25 00:00:00",194,2099297336918
"2017-02-26 00:00:00",235,8022927615730
"2017-02-27 00:00:00",272,1021405366461
"2017-02-28 00:00:00",209,2828579119095
"2017-03-01 00:00:00",513,2004857789314
"2017-03-02 00:00:00",549,821060679640
"2017-03-03 00:00:00",210,1028991130897
"2017-03-04 00:00:00",217,1404602655533
"2017-03-05 00:00:00",556,2855649733733
"2017-03-06 00:00:00",340,2296691901184
"2017-03-07 00:00:00",195,739328612399
"2017-03-08 00:00:00",214,1404311909961
"2017-03-09 00:00:00",269,4362577908516
"2017-03-10 00:00:00",518,4268610320745
"2017-03-11 00:00:00",720,5771291281276
"2017-03-12 00:00:00",568,3811610067510
"2017-03-13 00:00:00",593,3276586672373
"2017-03-14 00:00:00",519,4494236373680
"2017-03-15 00:00:00",266,1789494903965
"2017-03-16 00:00:00",260,1340246734081
"2017-03-17 00:00:00",250,1345650250896
"2017-03-18 00:00:00",268,4419559643977
"2017-03-19 00:00:00",501,1905721790412
"2017-03-20 00:00:00",357,4406041511397
"2017-03-21 00:00:00",276,1751455395819
"2017-03-22 00:00:00",260,1897837987357
"2017-03-23 00:00:00",982,6864282651363
"2017-03-24 00:00:00",522,6968224996880
"2017-03-25 00:00:00",272,3347153232819
"2017-03-26 00:00:00",317,2952114849599
"2017-03-27 00:00:00",736,3870538976977
